14,NE,16,218,366.5,36,25,13,5864,313,212,4,1,3,5,0,25,10,4348,1728,611,388,409,4.2,325,2010
15,MIN,16,210,312.6,31,15,11,5002,348,177,1,1,1,2,0,25,10,3544,1635,529,333,417,3.9,265,2010
16,MIA,16,180,309.3,39,11,8,4949,333,225,0,1,0,1,1,22,8,3573,1601,502,288,447,3.6,250,2010
17,KC,16,204,330.2,39,14,9,5283,326,258,3,0,1,3,0,23,11,3777,1764,581,319,408,4.3,274,2010
18,JAX,16,284,371.8,26,13,5,5949,419,189,0,0,1,0,0,28,19,4193,1945,506,329,416,4.7,295,2010
19,IND,16,218,341.6,30,10,11,5465,388,194,2,1,1,3,0,22,14,3627,2032,535,356,445,4.6,301,2010
20,HOU,16,296,376.9,30,13,5,6031,427,219,0,0,0,0,0,33,16,4499,1751,547,354,433,4,324,2010
21,GB,16,132,309.1,47,24,8,4945,240,333,3,1,0,4,0,16,6,3440,1838,527,296,395,4.7,245,2010
22,DET,16,246,342.8,44,14,15,5484,369,288,2,1,1,3,1,23,18,3773,1999,518,330,443,4.5,285,2010
23,DEN,16,312,390.8,23,10,8,6253,471,156,0,1,1,1,0,26,26,3936,2473,502,297,531,4.7,310,2010
24,DAL,16,268,351.8,35,20,10,5628,436,257,3,1,3,4,0,33,11,4151,1734,540,348,402,4.3,284,2010
25,CLE,16,198,350.1,29,19,9,5601,332,178,2,1,0,3,0,26,7,3709,2070,507,309,505,4.1,297,2010
26,CIN,16,218,332,27,16,10,5312,395,179,1,1,0,2,0,21,15,3648,1843,514,326,416,4.4,267,2010
27,CHI,16,168,314.3,34,21,14,5029,286,232,1,0,3,1,0,14,14,3820,1441,582,363,386,3.7,271,2010
28,CAR,16,234,335.9,31,17,12,5374,408,224,1,0,0,1,1,19,20,3617,1981,526,326,503,3.9,297,2010
29,BUF,16,278,361.6,27,11,11,5786,425,181,2,1,1,3,0,28,18,3253,2714,473,294,571,4.8,317,2010
30,BAL,16,164,318.9,27,19,8,5102,270,190,3,0,1,3,0,22,5,3789,1503,596,349,384,3.9,266,2010
31,ATL,16,194,332.4,31,22,9,5319,288,221,2,1,2,3,0,23,9,3846,1694,560,364,366,4.6,270,2010
32,ARI,16,246,373.6,33,17,13,5977,434,227,3,7,2,10,0,22,19,3881,2323,533,324,526,4.4,301,2010
1,WAS,16,260,377.7,32,21,10,6043,388,209,3,3,0,6,0,31,11,4720,1532,636,393,363,4.2,312,2012
2,TEN,16,284,374.5,39,19,5,5992,471,248,4,1,4,5,1,31,16,4205,2035,564,374,483,4.2,332,2012
3,TB,16,262,379.9,27,18,8,6078,394,193,3,0,0,3,0,30,13,4951,1320,627,410,377,3.5,301,2012
4,STL,16,204,342.6,51,17,4,5482,348,308,4,1,0,5,1,16,18,3927,1863,547,362,443,4.2,304,2012
5,SEA,16,138,306.2,36,18,12,4899,245,247,2,1,1,3,0,15,8,3497,1649,564,327,368,4.5,266,2012
6,SF,16,160,294.4,38,14,11,4710,273,270,2,2,0,4,1,19,7,3473,1507,567,337,407,3.7,250,2012
7,SD,16,230,326.4,38,14,14,5223,350,244,5,2,2,7,1,28,10,3925,1542,568,347,406,3.8,286,2012
8,PIT,16,168,275.8,37,10,10,4413,314,196,1,0,0,1,0,19,9,3159,1450,523,299,391,3.7,247,2012
9,PHI,16,264,343.2,30,8,5,5491,444,198,0,0,1,0,0,33,11,3668,2021,485,292,479,4.2,286,2012
10,OAK,16,276,354.5,25,11,8,5672,443,185,0,0,0,0,0,28,18,3960,1897,526,347,444,4.3,275,2012
11,NYJ,16,222,323.4,30,11,12,5174,375,170,2,1,2,3,1,20,17,3206,2138,494,266,495,4.3,257,2012
12,NYG,16,210,383.4,33,21,14,6134,344,231,1,1,1,2,0,26,9,4299,2066,534,341,449,4.6,300,2012
13,NO,16,294,440.1,30,15,11,7042,454,194,4,0,0,4,0,31,18,4875,2361,602,370,457,5.2,352,2012
14,NE,16,222,373.3,36,20,21,5972,331,213,2,4,2,6,1,27,10,4555,1630,594,369,415,3.9,307,2012
15,MIN,16,234,350.4,44,10,12,5607,348,277,3,0,2,3,0,28,10,4192,1692,612,391,427,4,311,2012
16,MIA,16,170,356.8,42,10,6,5708,317,242,0,0,2,0,0,18,10,4216,1734,600,353,431,4,294,2012
17,KC,16,240,356.5,27,7,6,5704,425,161,0,1,0,1,1,29,11,3694,2171,464,279,482,4.5,282,2012
18,JAX,16,242,380.5,20,12,11,6088,444,128,0,0,0,0,0,21,19,3960,2256,535,341,545,4.1,327,2012
19,IND,16,222,374.3,32,12,3,5988,387,189,4,0,2,4,0,23,14,3977,2200,535,334,428,5.1,292,2012
20,HOU,16,204,323.1,45,15,14,5169,331,272,3,0,0,3,1,29,5,3881,1560,581,308,390,4,261,2012
21,GB,16,218,336.8,47,18,5,5388,336,309,1,1,1,2,0,24,12,3801,1896,568,313,418,4.5,274,2012
22,DET,16,238,341.1,34,11,6,5458,437,237,0,0,0,0,1,26,13,3806,1889,544,346,420,4.5,274,2012
23,DEN,16,180,290.8,52,16,8,4652,289,364,5,1,2,6,2,25,5,3558,1458,559,321,404,3.6,256,2012
24,DAL,16,234,355.4,34,7,9,5687,400,211,1,2,1,3,0,22,17,3895,2003,511,320,441,4.5,287,2012
25,CLE,16,248,363.8,38,17,12,5821,368,233,2,0,1,2,0,27,14,4156,1898,600,378,457,4.2,307,2012
26,CIN,16,174,319.7,51,14,16,5115,320,361,2,1,1,3,0,16,13,3761,1715,560,346,423,4.1,282,2012
27,CHI,16,154,315.6,41,24,20,5050,277,289,8,1,0,9,0,19,6,3712,1627,592,350,388,4.2,261,2012
28,CAR,16,200,333.1,39,11,12,5329,363,284,3,1,0,4,1,22,11,3852,1761,555,371,416,4.2,294,2012
29,BUF,16,292,362.9,36,12,9,5806,435,196,1,0,3,1,1,25,23,3669,2333,536,306,470,5,318,2012
30,BAL,16,182,350.9,37,13,12,5615,344,250,2,0,3,2,0,15,15,3900,1965,557,335,492,4,292,2012
31,ATL,16,180,365.6,29,20,11,5849,299,182,1,1,0,2,0,14,16,4060,1971,551,337,411,4.8,288,2012
32,ARI,16,194,337.8,38,22,11,5405,357,228,2,1,0,3,0,20,12,3441,2192,497,270,506,4.3,267,2012
1,WAS,16,312,354.1,36,16,10,5665,478,238,4,1,0,5,0,29,23,4134,1769,514,337,443,4,306,2013
2,TEN,16,218,337.9,36,13,12,5407,381,227,1,2,0,3,0,15,21,3839,1795,545,344,446,4,299,2013
3,TB,16,242,348,35,21,10,5568,389,255,3,0,0,3,1,30,10,4061,1762,547,352,438,4,285,2013
4,STL,16,240,345,53,14,15,5520,364,326,2,3,1,5,1,21,18,4200,1646,521,355,440,3.7,290,2013
5,SEA,16,124,273.6,45,28,11,4378,231,298,3,1,0,4,2,16,4,3050,1626,524,309,421,3.9,238,2013
6,SF,16,182,318.7,38,18,12,5099,272,283,2,3,0,5,1,19,11,3847,1535,585,345,397,3.9,258,2013
7,SD,16,222,366.5,35,11,6,5864,348,248,1,0,0,1,0,23,14,4387,1725,548,364,376,4.6,306,2013
8,PIT,16,236,337.2,34,10,10,5395,370,205,3,0,1,3,1,21,18,3751,1849,569,329,432,4.3,280,2013
9,PHI,16,230,394,37,19,12,6304,382,271,1,1,0,2,2,25,12,4907,1668,670,408,442,3.8,339,2013
10,OAK,16,290,363.7,38,9,13,5819,453,260,1,2,0,3,0,33,15,4352,1727,549,374,442,3.9,302,2013
11,NYJ,16,212,334.9,41,13,2,5359,387,242,1,0,0,1,1,26,9,4189,1412,586,345,421,3.4,266,2013
12,NYG,16,200,332.3,34,17,12,5316,383,214,2,0,0,2,0,21,12,3787,1743,601,361,454,3.8,299,2013
13,NO,16,186,305.7,49,12,7,4891,304,336,0,0,0,0,0,20,11,3441,1786,507,304,387,4.6,250,2013
14,NE,16,216,373.1,48,17,12,5969,338,313,2,1,0,3,0,25,11,4137,2145,589,336,481,4.5,318,2013
15,MIN,16,310,398.3,41,12,8,6373,480,274,0,1,3,1,0,37,14,4880,1767,648,419,443,4,348,2013
16,MIA,16,186,359.4,42,18,6,5750,335,272,2,0,0,2,1,17,14,4024,1998,580,344,485,4.1,306,2013
17,KC,16,204,367.8,48,21,15,5885,305,313,5,2,4,7,0,25,9,4275,1923,592,334,429,4.5,277,2013
18,JAX,16,302,379.4,31,11,10,6070,449,225,1,1,0,2,3,29,20,4187,2108,551,354,507,4.2,321,2013
19,IND,16,210,357.1,42,15,12,5713,336,248,1,0,0,1,2,21,14,3959,2002,536,324,448,4.5,292,2013
20,HOU,16,242,317.6,32,7,4,5081,428,187,1,0,1,1,1,29,11,3310,1958,484,287,454,4.3,246,2013
21,GB,16,276,372.3,44,11,11,5956,428,238,0,3,1,3,0,30,16,4194,2000,539,332,432,4.6,306,2013
22,DET,16,212,346.6,33,15,7,5546,376,249,1,1,2,2,2,24,10,4199,1596,572,338,377,4.2,259,2013
23,DEN,16,266,356,41,17,9,5696,399,290,1,1,2,2,0,29,15,4360,1626,613,357,420,3.9,298,2013
24,DAL,16,304,415.3,34,15,13,6645,432,246,2,3,1,5,0,33,17,4835,2056,623,403,437,4.7,353,2013
25,CLE,16,256,332.4,40,14,7,5319,406,185,3,1,1,4,0,29,13,3723,1781,605,363,462,3.9,300,2013
26,CIN,16,170,305.5,43,20,11,4888,305,279,4,2,0,6,0,22,6,3623,1544,614,362,385,4,250,2013
27,CHI,16,284,394.6,31,19,9,6313,478,189,5,1,1,6,0,25,22,3919,2583,507,315,483,5.3,331,2013
28,CAR,16,128,301.3,60,20,10,4820,241,424,4,0,0,4,0,17,4,3853,1391,563,375,352,4,248,2013
29,BUF,16,230,333.4,56,23,7,5334,388,395,2,1,0,3,0,28,10,3666,2063,561,310,472,4.4,268,2013
30,BAL,16,192,335.5,40,16,8,5368,352,257,1,0,2,1,0,25,7,3938,1687,552,314,440,3.8,255,2013
31,ATL,16,270,379.4,32,10,11,6070,443,231,2,1,0,3,0,31,14,4128,2173,516,341,455,4.8,298,2013
32,ARI,16,208,317.4,47,20,10,5079,324,337,4,1,0,5,2,29,5,4065,1351,625,367,370,3.7,276,2013
