47,"Walter, Kevin",HOU,86,5.4,16,16,51,75,621,12.2,5,0,0,0,51,621,621,5,0,0,2010
48,"Amendola, Danny",STL,85,5.3,16,6,85,123,689,8.1,3,7,81,0,92,770,2364,3,0,1,2010
49,"Williams, Roy",DAL,80,5.3,15,10,37,61,530,14.3,5,0,0,0,37,530,530,5,1,2,2010
50,"Williams, Mike",SEA,80,5.7,14,13,65,110,751,11.6,2,1,0,0,66,751,751,2,0,0,2010
51,"Royal, Eddie",DEN,79,4.9,16,10,59,105,627,10.6,3,6,61,0,65,688,1093,3,0,2,2010
52,"Morgan, Josh",SF,77,4.8,16,13,44,80,698,15.9,2,2,17,0,46,715,734,2,0,1,2010
53,"Ford, Jacoby",OAK,77,5.1,15,8,23,46,443,19.3,2,10,155,2,33,598,1805,7,0,1,2010
54,"Driver, Donald",GB,76,5.1,15,15,51,86,565,11.1,4,0,0,0,51,565,565,4,0,1,2010
55,"Breaston, Steve",ARI,75,5.8,13,11,47,87,718,15.3,1,3,35,0,50,770,915,1,0,0,2010
56,"Jones, Jacoby",HOU,73,4.9,15,7,51,78,562,11,3,2,7,0,53,569,1267,3,1,0,2010
57,"Evans, Lee",BUF,72,6,12,12,35,78,526,15,4,0,0,0,35,526,526,4,0,1,2010
58,"Shipley, Jordan",CIN,71,4.7,15,4,52,84,600,11.5,3,0,0,0,52,600,600,3,0,0,2010
59,"Murphy, Louis",OAK,69,4.9,14,9,41,78,609,14.9,2,1,43,0,42,652,652,2,0,1,2010
60,"Smith, Steve",NYG,68,7.6,9,7,48,75,529,11,3,0,0,0,48,529,529,3,0,0,2010
61,"Bennett, Earl",CHI,68,4.9,14,3,46,70,561,12.2,3,2,9,0,48,570,570,3,0,0,2010
62,"Gibson, Brandon",STL,67,4.5,15,13,53,91,620,11.7,2,3,28,0,56,648,648,2,0,0,2010
63,"Hartline, Brian",MIA,66,5.5,12,11,43,73,615,14.3,1,2,27,0,45,642,642,1,0,1,2010
64,"Hester, Devin",CHI,66,4.1,16,13,40,73,475,11.9,4,7,30,0,47,505,1496,7,0,0,2010
65,"Gettis, David",CAR,65,4.3,15,12,37,67,508,13.7,3,3,2,0,40,510,655,3,0,0,2010
66,"Moss, Randy",NE,64,4,16,11,28,63,393,14,5,0,0,0,28,393,393,5,0,0,2010
67,"Nelson, Jordy",GB,64,4,16,3,45,64,582,12.9,2,0,0,0,45,582,1078,2,0,3,2010
