97,"Smith, Alfonso",ARI,15,0.9,16,0,18,54,3,1,10,68,0,0,0,28,122,122,1,0,1,2013
98,"Havili, Stanley",IND,15,1.2,13,8,7,7,1,0,18,128,1,0,0,25,135,135,1,0,0,2013
99,"Thigpen, Marcus",MIA,15,0.9,16,0,6,18,3,0,8,97,1,0,0,14,115,1257,1,0,0,2013
100,"Kuhn, John",GB,12,0.8,15,6,10,38,3.8,1,13,81,0,0,0,23,119,159,1,0,1,2013
101,"Choice, Tashard",BUF,12,0.8,15,0,46,170,3.7,0,5,15,0,0,0,51,185,213,0,0,0,2013
102,"Taylor, Stepfan",ARI,11,0.7,16,0,36,115,3.2,0,8,71,0,0,0,44,186,186,0,0,0,2013
103,"Develin, James",NE,11,0.7,16,6,4,10,2.5,1,4,62,0,0,0,8,72,72,1,0,0,2013
104,"Leach, Vonta",BAL,10,0.6,16,7,11,23,2.1,0,11,47,1,0,0,22,70,70,1,0,0,2013
105,"Pead, Isaiah",STL,10,1,10,0,7,21,3,0,11,78,0,0,0,18,99,237,0,1,0,2013
106,"Bohanon, Tommy",NYJ,9,0.6,16,8,17,62,3.6,0,11,69,0,0,0,28,131,146,0,0,0,2013
107,"Coleman, Derrick",SEA,9,0.8,12,3,2,3,1.5,0,8,62,1,0,0,10,65,65,1,0,0,2013
108,"Collins, Jed",NO,9,0.6,16,9,15,45,3,1,14,54,0,0,0,29,99,99,1,0,0,2013
109,"Herron, Dan",IND,8,1.3,6,0,5,33,6.6,0,1,57,0,0,0,6,90,103,0,0,0,2013
110,"Bennett, Earl",CHI,8,8,1,1,0,0,0,0,2,22,1,0,0,2,22,22,1,0,0,2013
111,"Riddick, Theo",DET,7,0.5,14,0,9,25,2.8,1,4,26,0,0,0,13,51,63,1,0,0,2013
112,"Tanner, Phillip",DAL,7,0.4,16,0,9,12,1.3,1,3,33,0,0,0,12,45,45,1,0,0,2013
113,"Johnson, Will",PIT,6,0.4,16,4,0,0,0,0,8,41,1,0,0,8,41,41,1,0,0,2013
114,"Stewart, Jeremy",OAK,6,0.5,13,0,2,2,1,1,2,6,0,0,0,4,8,103,1,0,0,2013
115,"Goodson, Mike",NYJ,6,3,2,0,7,61,8.7,0,2,19,0,0,0,9,80,80,0,0,0,2013
116,"Michael, Christine",SEA,6,2,3,0,18,79,4.4,0,0,0,0,0,0,18,79,79,0,0,0,2013
117,"Ballard, Vick",IND,6,6,1,1,13,63,4.8,0,1,-5,0,0,0,14,58,58,0,0,0,2013
118,"Cadet, Travaris",NO,6,0.5,13,0,0,0,0,0,2,5,1,0,0,2,5,244,1,0,0,2013
119,"Clay, Charles",MIA,6,6,1,0,0,0,0,0,1,7,1,0,0,1,7,7,1,0,0,2013
120,"James, LaMichael",SF,6,0.6,10,0,12,59,4.9,0,2,16,0,0,0,14,75,522,0,0,0,2013
121,"Forsett, Justin",JAX,6,0.7,9,0,6,31,5.2,0,15,82,0,0,0,21,113,134,0,0,0,2013
122,"Jones, Taiwan",OAK,5,2.5,2,0,2,3,1.5,0,2,55,0,0,0,4,58,236,0,0,1,2013
123,"Fiammetta, Tony",CHI,5,0.3,16,7,0,0,0,0,4,57,0,0,0,4,57,57,0,0,0,2013
124,"Olawale, Jamize",OAK,5,0.3,16,1,3,6,2,0,7,63,0,0,0,10,69,75,0,0,0,2013
125,"Karim, Deji",HOU,5,0.7,7,0,12,51,4.3,0,1,-1,0,0,0,13,50,128,0,0,0,2013
126,"Cox, Michael",NYG,4,0.3,14,1,22,43,2,0,3,12,0,0,0,25,55,491,0,0,0,2013
127,"Lorig, Erik",TB,3,0.2,14,8,0,0,0,0,11,47,0,0,0,11,47,53,0,0,0,2013
128,"Austin, Tavon",STL,3,3,1,1,1,3,3,0,6,30,0,0,0,7,33,49,0,0,0,2013
129,"Anderson, C.J.",DEN,3,0.8,4,0,7,38,5.4,0,0,0,0,0,0,7,38,38,0,0,0,2013
