Rank,Player,Tm,Tot Pts,Avg Pts,G,GS,Rec,Tar,Rec Yds,Rec Avg,Rec TD,Run Att,Run Yds,Run TD,Pass TD,Off Yds,Tot Tchs,Tot TD,2pt,FumL,year
51,"Escobar, Gavin",DAL,21,1.3,16,1,9,15,134,14.9,2,0,0,0,0,134,9,2,0,0,2013
52,"Nelson, David",NYJ,21,10.5,2,2,9,11,99,11,2,0,0,0,0,99,9,2,0,0,2013
53,"Barnidge, Gary",CLE,20,1.3,16,12,13,18,127,9.8,2,0,0,0,0,127,13,2,0,0,2013
54,"Tamme, Jacob",DEN,19,1.2,16,1,20,25,184,9.2,1,0,0,0,0,184,20,1,0,0,2013
55,"Harkey, Cory",STL,19,1.4,14,9,13,18,113,8.7,2,0,0,0,0,113,13,2,0,0,2013
56,"Ballard, Jake",ARI,17,2.1,8,3,7,9,75,10.7,2,0,0,0,0,75,7,2,0,0,2013
57,"Bostick, Brandon",GB,16,1.5,11,0,7,14,120,17.1,1,0,0,0,0,120,7,1,0,0,2013
58,"Hoomanawanui, Michael",NE,16,1.2,13,10,12,19,136,11.3,1,0,0,0,0,136,12,1,0,0,2013
59,"Toilolo, Levine",ATL,14,0.9,15,2,11,15,55,5,2,0,0,0,0,55,11,2,0,0,2013
60,"Ford, Chase",MIN,12,1.3,9,0,11,16,133,12.1,0,0,0,0,0,133,11,0,0,0,2013
61,"Noble, Danny",JAX,12,1.5,8,1,2,3,63,31.5,1,0,0,0,0,63,2,1,0,0,2013
62,"Davis, Fred",WAS,11,1.1,10,3,7,18,70,10,1,0,0,0,0,70,7,1,0,0,2013
63,"Gragg, Chris",BUF,10,1.1,9,1,5,7,53,10.6,1,0,0,0,0,53,5,1,0,0,2013
64,"Ellison, Rhett",MIN,10,2.5,4,4,4,5,48,12,1,0,0,0,0,48,4,1,0,0,2013
65,"Paulson, David",PIT,8,0.5,16,4,6,10,102,17,0,0,0,0,0,102,6,0,0,1,2013
66,"Williams, Terrance",DAL,8,8,1,1,4,6,84,21,0,0,0,0,0,84,4,0,0,0,2013
67,"Hill, Josh",NO,8,0.6,13,2,6,10,44,7.3,1,1,-8,0,0,36,7,1,0,0,2013
68,"Dreessen, Joel",DEN,8,0.6,13,0,7,9,47,6.7,1,0,0,0,0,47,7,1,0,0,2013
69,"Allen, Dwayne",IND,8,8,1,1,1,2,20,20,1,0,0,0,0,20,1,1,0,0,2013
70,"McDonald, Vance",SF,8,0.5,15,4,8,19,119,14.9,0,0,0,0,0,119,8,0,0,0,2013
71,"Scheffler, Tony",DET,7,1.4,5,1,7,12,82,11.7,0,0,0,0,0,82,7,0,0,0,2013
72,"Mulligan, Matthew",NE,7,0.5,15,4,2,3,16,8,1,0,0,0,0,16,2,1,0,0,2013
73,"Spaeth, Matt",PIT,7,1.8,4,2,1,2,11,11,1,0,0,0,0,11,1,1,0,0,2013
74,"Crabtree, Tom",TB,7,1,7,5,4,7,21,5.3,1,0,0,0,0,21,4,1,0,0,2013
75,"Sims, Dion",MIA,6,0.5,13,4,5,8,25,5,1,0,0,0,0,25,5,1,0,0,2013
76,"Smith, Alex",CIN,6,0.4,16,1,3,6,12,4,1,0,0,0,0,12,3,1,0,0,2013
77,"Johnson, David",PIT,6,1.5,4,1,3,5,62,20.7,0,0,0,0,0,62,3,0,0,0,2013
78,"Mastrud, Jeron",OAK,6,0.4,16,12,6,13,88,14.7,0,0,0,0,0,88,6,0,0,0,2013
79,"Davis, Kellen",SEA,6,0.4,14,3,1,2,1,1,1,0,0,0,0,1,1,1,0,0,2013
80,"Thompson, Taylor",TEN,6,0.4,16,3,3,7,13,4.3,1,0,0,0,0,13,3,1,0,0,2013
81,"Hanna, James",DAL,6,0.4,15,7,12,15,73,6.1,0,0,0,0,0,73,12,0,0,0,2013
82,"Kasa, Nick",OAK,6,0.4,16,1,1,5,9,9,1,0,0,0,0,9,1,1,0,0,2013
83,"Pascoe, Bear",NYG,5,0.3,15,4,12,20,81,6.8,0,1,2,0,0,83,13,0,0,0,2013
84,"Sudfeld, Zach",NE,5,0.4,14,2,5,10,63,12.6,0,0,0,0,0,63,5,0,0,0,2013
85,"Egnew, Michael",MIA,4,0.3,14,4,7,11,69,9.9,0,0,0,0,0,69,7,0,0,0,2013
86,"Smith, Lee",BUF,4,0.3,15,13,4,8,60,15,0,0,0,0,0,60,4,0,0,0,2013
87,"Byham, Nate",TB,3,1,3,2,2,2,37,18.5,0,0,0,0,0,37,2,0,0,0,2013
88,"Saunders, Weslye",IND,3,0.5,6,1,4,11,46,11.5,0,0,0,0,0,46,4,0,0,0,2013
89,"Reisner, Allen",JAX,3,0.6,5,3,5,9,40,8,0,0,0,0,0,40,5,0,0,0,2013
90,"Celek, Garrett",SF,3,0.3,12,1,2,4,38,19,0,0,0,0,0,38,2,0,0,0,2013
91,"Donnell, Larry",NYG,3,0.2,16,1,3,6,31,10.3,0,0,0,0,0,31,3,0,0,0,2013
92,"Jones, Dominique",IND,3,0.4,7,1,2,3,34,17,0,0,0,0,0,34,2,0,0,0,2013
93,"Paul, Niles",WAS,2,0.2,12,1,2,5,20,10,0,0,0,0,0,20,2,0,0,0,2013
94,"Gray, MarQueis",CLE,2,0.2,12,2,2,9,8,4,0,6,43,0,0,51,8,0,0,0,2013
95,"Brock, Kevin",KC,2,0.5,4,0,3,6,36,12,0,0,0,0,0,36,3,0,0,0,2013
96,"Dickerson, Dorin",DET,2,0.4,5,0,2,5,34,17,0,0,0,0,0,34,2,0,0,0,2013
97,"Casey, James",PHI,2,0.1,15,1,3,6,31,10.3,0,0,0,0,0,31,3,0,0,0,2013
98,"Green, Virgil",DEN,1,0.1,16,3,9,12,45,5,0,0,0,0,0,45,9,0,0,0,2013
99,"Brockel, Richie",CAR,1,0.1,16,0,1,1,12,12,0,1,1,0,0,13,2,0,0,1,2013
100,"Ross, Jeremy",DET,1,1,1,1,1,3,19,19,0,0,0,0,0,19,1,0,0,0,2013
101,"Bajema, Billy",BAL,1,0.2,6,1,2,2,18,9,0,0,0,0,0,18,2,0,0,0,2013
102,"Rosario, Dante",CHI,1,0.1,15,3,1,4,13,13,0,0,0,0,0,13,1,0,0,0,2013
103,"Sperry, Kory",ARI,1,0.1,8,2,1,1,16,16,0,0,0,0,0,16,1,0,0,0,2013
104,"Taylor, Ryan",GB,1,0.1,14,1,6,9,30,5,0,0,0,0,0,30,6,0,0,0,2013
105,"Phillips, John",SD,1,0.1,15,5,4,6,30,7.5,0,0,0,0,0,30,4,0,0,0,2013
106,"Moeaki, Tony",BUF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
107,"Maneri, Steve",CHI,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2013
108,"Adams, Kyle",CHI,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
109,"Smith, Andre",DAL,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
110,"Robinson, Adrien",NYG,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
111,"Veldman, Matt",DET,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
112,"Beachum, Kelvin",PIT,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
113,"Stevens, Craig",TEN,0,0,15,14,2,6,5,2.5,0,0,0,0,0,5,2,0,0,0,2013
114,"Palmer, Michael",PIT,0,0,16,0,1,1,8,8,0,0,0,0,0,8,1,0,0,0,2013
115,"Dobbs, Demarcus",SF,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
116,"Adams, Mike",PIT,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
117,"Carrier, Derek",SF,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
118,"Jefferson, D.C.",ARI,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
119,"Williams, Brandon",CAR,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
120,"Talley, Ronald",ARI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
121,"Linkenbach II, Jeffrey",IND,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
122,"Stocker, Luke",TB,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
123,"McNeill, Mike",STL,0,0,14,0,1,1,5,5,0,0,0,0,0,5,1,0,0,0,2013
124,"Gordon, Richard",KC,0,0,2,0,1,1,3,3,0,0,0,0,0,3,1,0,0,0,2013
125,"Byrne, Jake",HOU,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
126,"Supernaw, Phillip",HOU,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
127,"Milton, Keavon",CLE,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
128,"Cunningham, Justice",IND,0,0,1,0,1,1,4,4,0,0,0,0,0,4,1,0,0,0,2013
129,"Wagner, Rick",BAL,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
130,"Doyle, Jack",IND,0,0,14,4,5,7,19,3.8,0,0,0,0,0,19,5,0,0,0,2013
131,"Shiancoe, Visanthe",TEN,0,0,1,1,2,2,2,1,0,0,0,0,0,2,2,0,0,0,2013
